"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Sep 01 15:57:40 GMT 2023","Fri Sep 01 15:57:42 GMT 2023","2027","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Fri Sep 01 15:57:39 GMT 2023","Fri Sep 01 15:57:40 GMT 2023","1006","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Fri Sep 01 15:57:38 GMT 2023","Fri Sep 01 15:57:38 GMT 2023","19","","Labels","","Create new label via api","","Create new label via api",""
"passed","Fri Sep 01 15:57:42 GMT 2023","Fri Sep 01 15:57:42 GMT 2023","10","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Fri Sep 01 15:57:42 GMT 2023","Fri Sep 01 15:57:42 GMT 2023","18","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Fri Sep 01 15:57:39 GMT 2023","Fri Sep 01 15:57:39 GMT 2023","10","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Fri Sep 01 15:57:39 GMT 2023","Fri Sep 01 15:57:39 GMT 2023","15","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
