"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2003","Delete existing label for authorized user","","Wed Nov 06 17:20:02 GMT 2024","passed","Wed Nov 06 17:20:04 GMT 2024","","Labels","Delete existing label for authorized user",""
"","1","Create new milestone for authorized user","","Wed Nov 06 17:20:04 GMT 2024","passed","Wed Nov 06 17:20:04 GMT 2024","","Milestones","Create new milestone for authorized user",""
"","2","Close existing milestone for authorized user","","Wed Nov 06 17:20:04 GMT 2024","passed","Wed Nov 06 17:20:04 GMT 2024","","Milestones","Close existing milestone for authorized user",""
"","13","Create new label via api","","Wed Nov 06 17:20:02 GMT 2024","passed","Wed Nov 06 17:20:02 GMT 2024","","Labels","Create new label via api",""
"","6","Create new label for authorized user","","Wed Nov 06 17:20:02 GMT 2024","broken","Wed Nov 06 17:20:02 GMT 2024","","Labels","Create new label for authorized user",""
"","1","Delete existing label via api","","Wed Nov 06 17:20:02 GMT 2024","passed","Wed Nov 06 17:20:02 GMT 2024","","Labels","Delete existing label via api",""
"","3","Add label to existing issue for authorized user","","Wed Nov 06 17:20:02 GMT 2024","broken","Wed Nov 06 17:20:02 GMT 2024","","Labels","Add label to existing issue for authorized user",""
